Daily Weather Observations for Sydney, New South Wales for July 2018
Prepared at 13:00 UTC on Tuesday  7 August 2018   IDCJDW2124.201807
Copyright 2003 Commonwealth Bureau of Meteorology
Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport.
Sydney Airport is about 10 km to the south of Observatory Hill.
Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}
Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}
Wind observations are from Fort Denison {station 066022}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2018-07-1,7.6,19.1,0,4.0,9.1,W,33,00:25,8.8,66,3,W,24,1031.4,17.9,49,2,SSE,15,1029.2
,2018-07-2,8.8,17.4,0,3.6,2.0,ESE,30,14:27,11.8,75,7,W,17,1032.2,15.9,60,6,ESE,17,1029.4
,2018-07-3,8.7,19.1,9.8,1.0,6.8,W,24,03:41,10.2,89,2,WNW,17,1029.8,18.9,52,2, ,Calm,1026.9
,2018-07-4,9.3,18.9,0,1.8,8.0,NNE,28,19:01,10.4,85,1,WNW,15,1028.2,18.6,69,1,ENE,17,1024.7
,2018-07-5,10.4,25.2,0,2.6,9.0,NNW,33,12:14,11.2,91,1,WNW,13,1022.2,24.7,41,1,NNW,20,1016.5
,2018-07-6,11.1,24.8,0,3.8,8.4,NNW,65,12:37,19.4,58,1,N,20,1010.8,22.7,33,6,WNW,35,1007.4
,2018-07-7,9.2,17.5,0,7.0,8.5,WNW,65,13:01,11.6,49,1,NW,17,1011.0,15.1,39,7,WNW,30,1008.1
,2018-07-8,8.8,18.2,0,4.4,9.6,WSW,65,12:16,10.9,49,1,WNW,11,1015.2,17.6,32,1,W,26,1013.9
,2018-07-9,10.5,17.2,0,4.6,7.9,W,43,09:21,12.1,53,3,W,20,1023.8,16.0,37,3,S,24,1023.9
,2018-07-10,7.4,18.5,0,3.4,8.3,W,35,07:01,9.0,65,4,W,26,1028.7,17.5,34,1,ESE,13,1025.2
,2018-07-11,6.7,16.2,0,4.0,8.7,ENE,26,16:39,8.2,72,1,WNW,20,1025.6,15.5,63,4,ENE,15,1022.4
,2018-07-12,7.7,19.5,0,1.2,8.2,W,41,17:29,8.8,87,3,WNW,20,1021.2,19.0,29,1,NNW,9,1016.2
,2018-07-13,7.4,18.4,0,3.0,9.5,WSW,43,11:59,9.3,55,1,WNW,20,1017.3,17.9,32,1,W,19,1014.8
,2018-07-14,6.2,17.5,0,3.4,9.5,W,37,02:28,8.6,61,1,W,24,1020.2,16.4,34,1,E,13,1016.9
,2018-07-15,5.1,17.2,0,2.6,9.6,W,31,06:37,6.7,63,0,W,22,1017.9,16.8,22,0,WNW,7,1013.7
,2018-07-16,4.6,17.8,0,3.4,8.3,WNW,35,11:09,8.0,52,0,W,13,1013.6,17.6,26,5,WNW,13,1011.3
,2018-07-17,8.0,22.3,0,3.0,9.7,NW,46,14:55,13.1,34,0,W,4,1016.1,22.2,15,0,NW,28,1011.2
,2018-07-18,12.0,21.5,0,6.8,9.2,NW,30,00:26,13.6,43,0,WNW,19,1018.3,21.0,20,0,E,2,1016.3
,2018-07-19,7.0,20.4,0,3.8,6.9,WNW,20,08:22,10.1,56,6,W,15,1016.9,19.9,31,3,E,7,1013.0
,2018-07-20,10.1,19.4,0,4.0,9.5,W,74,12:44,17.1,29,3,NNW,30,1005.4,15.8,28,1,W,43,1008.6
,2018-07-21,9.1,18.6,0,6.2,9.7,W,39,00:10,11.3,48,1,W,17,1021.4,17.7,23,1,E,9,1020.7
,2018-07-22,5.8,16.9,0,3.6,9.7,ENE,28,14:26,8.0,59,1,WNW,20,1025.8,15.8,34,1,NE,19,1020.9
,2018-07-23,5.4,20.5,0,3.8,9.5,N,30,13:01,7.1,64,1,WNW,17,1020.5,20.2,22,0,N,13,1015.0
,2018-07-24,7.1,23.9,0,2.6,9.7,NW,39,15:17,16.0,25,0,NNW,13,1013.9,23.7,14,0,NW,24,1010.7
,2018-07-25,12.1,22.7,0,6.8,9.3,W,37,15:58,14.7,41,0,W,6,1017.2,22.4,28,2,WNW,11,1014.4
,2018-07-26,8.8,20.6,0,2.0,9.0,W,28,11:53,11.7,61,1,W,13,1019.7,17.6,38,6,ESE,17,1016.1
,2018-07-27,7.0,20.8,0,3.6,9.9,W,28,06:48,9.9,67,1,W,19,1018.1,20.1,25,1,NNW,6,1014.2
,2018-07-28,8.3,20.6,0,3.6,6.5,NNE,26,15:52,11.7,51,1,W,13,1017.7,18.9,38,6,ENE,17,1013.6
,2018-07-29,11.7,24.5,1.4,5.4,9.2,W,65,17:28,17.2,62,1,N,20,1008.8,24.2,24,6,WNW,26,1003.9
,2018-07-30,10.0,19.9,0,8.0,9.9,WSW,48,08:48,12.2,41,0,W,33,1016.1,18.7,22,0,NW,11,1014.7
,2018-07-31,7.4,21.3,0,2.8,7.7,NNW,37,11:05,12.7,44,5,NNE,4,1017.4,21.2,23,5,WNW,19,1013.4
